Quote,Author
"Though familiarity may not breed contempt, it takes off the edge of admiration.","William Hazlitt"
"Inquiry is fatal to certainty.","Will Durant"
"What we think, or what we know, or what we believe, is in the end, of little consequence. The only thing of consequence is what we do.","John Ruskin"
"Problems worthy / of attack / prove their worth / by hitting back.","Piet Hein"
"Trying to determine what is going on in the world by reading newspapers is like trying to tell the time by watching the second hand of a clock.","Ben Hecht"
"Satire is a sort of glass, wherein beholders do generally discover everybody's face but their own, which is the chief reason for that kind of reception it meets in the world, and that so very few are offended with it.","Jonathan Swift"
"Moderate giftedness has been made worthless by the printing press and radio and television and satellites and all that. A moderately gifted person who would have been a community treasure a thousand years ago has to give up, has to go into some other line of work, since modern communications put him or her into daily competition with nothing but world's champions.","Kurt Vonnegut"
"Convictions are more dangerous enemies of truth than lies.","Friedrich Wilhelm Nietzsche"
"Of all the preposterous assumptions of humanity over humanity, nothing exceeds most of the criticisms made on the habits of the poor by the well-housed, well-warmed, and well-fed.","Herman Melville"
"In this world there are only two tragedies. One is not getting what one wants, and the other is getting it. The last is much the worst.","Oscar Wilde"
"If there is a sin against life, it consists perhaps not so much in despairing of life as in hoping for another life and in eluding the implacable grandeur of this life.","Albert Camus"
"We are not afraid to entrust the American people with unpleasant facts, foreign ideas, alien philosophies, and competitive values. For a nation that is afraid to let its people judge the truth and falsehood in an open market is a nation that is afraid of its people.","John F. Kennedy"
"A physician is not angry at the intemperance of a mad patient; nor does he take it ill to be railed at by a man in a fever. Just so should a wise man treat all mankind, as a physician does his patient; and looking upon them only as sick and extravagant.","Lucius Annaeus Seneca"
"An individual human existence should be like a river: small at first, narrowly contained within its banks, and rushing passionately past rocks and over waterfalls. Gradually the river grows wider, the banks recede, the waters flow more quietly, and in the end, without any visible break, they become merged in the sea, and painlessly lose their individual being.","Bertrand Russell"
"In nature there are neither rewards nor punishments; there are consequences.","Robert Green Ingersoll"
"Every age is fed on illusions, lest men should renounce life early and the human race come to an end.","Joseph Conrad"
"In all affairs it's a healthy thing now and then to hang a question mark on the things you have long taken for granted.","Bertrand Russell"
"It's alright to tell a man to lift himself by his own bootstraps, but it is a cruel jest to say to a bootless man that he ought to lift himself by his own bootstraps.","Martin Luther King"
"It is useless to attempt to reason a man out of a thing he was never reasoned into.","Jonathan Swift"
"Only the good doubt their own goodness, which is what makes them good in the first place. The bad know they are good, but the good know nothing. They spend their lives forgiving others, but they can't forgive themselves.","Paul Auster"
"Men, said the Devil, are [so] good to their brothers: / they don't want to mend their own ways, but [rather] each other's.","Piet Hein"
"The liar's punishment is not in the least that he is not believed, but that he cannot believe anyone else.","George Bernard Shaw"
"I have never met a man so ignorant that I couldn't learn something from him.","Galileo Galilei"
"It is of interest to note that while some dolphins are reported to have learned English - up to fifty words used in correct context - no human being has been reported to have learned dolphinese.","Carl Sagan"
"The desire of knowledge, like the thirst of riches, increases ever with the acquisition of it.","Laurence Sterne"
"Clear thinking requires courage rather than intelligence.","Thomas Szasz"
"There are stars whose radiance is visible on Earth though they have long been extinct. There are people whose brilliance continues to light the world though they are no longer among the living. These lights are particularly bright when the night is dark. They light the way for humankind.","Hannah Senesh"
"I'd like to widen people's awareness of the tremendous timespan lying ahead - for our planet, and for life itself. Most educated people are aware that we're the outcome of nearly 4bn years of Darwinian selection, but many tend to think that humans are somehow the culmination. Our sun, however, is less than halfway through its lifespan. Six billion years from now, it will not be humans who watch the sun's demise. Any creatures that then exist will be as different from us as we are from bacteria or amoebae.","Martin Rees"
"All slang is metaphor, and all metaphor is poetry.","G.K. Chesterton"
"The most dangerous of all falsehoods is a slightly distorted truth.","Georg Christoph Lichtenberg"
"There is nothing so useless as doing efficiently that which should not be done at all.","Peter Drucker"
"Style is time's fool. Form is time's student.","Stewart Brand"
"Faced with the choice between changing one's mind and proving that there is no need to do so, almost everyone gets busy on the proof.","John Kenneth Galbraith"
"Misunderstandings and neglect occasion more mischief in the world than even malice and wickedness.","Johann Wolfgang von Goethe"
"Before we set our hearts too much on anything, let us examine how happy are those who already possess it.","Francois"
"A problem well stated is a problem half solved.","Charles F. Kettering"
"To read is to translate, for no two persons' experiences are the same. A bad reader is like a bad translator: he interprets literally when he ought to paraphrase and paraphrases when he ought to interpret literally.","W.H. Auden"
"There are a thousand thoughts lying within a man that he does not know till he takes up a pen to write.","William Makepeace Thackeray"
"When small men begin to cast big shadows, it means that the sun is about to set.","Lin Yutang"
"If Galileo had said in verse that the world moved, the inquisition might have let him alone.","Thomas Hardy"
"A casual stroll through the lunatic asylum shows that faith does not prove anything.","Friedrich Nietzsche"
"In large states public education will always be mediocre, for the same reason that in large kitchens the cooking is usually bad.","Friedrich Nietzsche"
"People who have given us their complete confidence believe that they have a right to ours. The inference is false, a gift confers no rights.","Friedrich Nietzsche"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.","Friedrich Nietzsche"
"No victor believes in chance.","Friedrich Nietzsche"
"The most common lie is that which one tells himself; lying to others is relatively an exception.","Friedrich Nietzsche"
"My life has been full of terrible misfortunes, most of which never happened.","Michel de Montaigne"
"Wandering in a vast forest at night, I have only a faint light to guide me. A stranger appears and says to me: 'My friend, you should blow out your candle in order to find your way more clearly.' The stranger is a theologian.","Denis Diderot"
"There are two kinds of light - the glow that illuminates, and the glare that obscures.","James Thurber"
"Life is a tragedy when seen in close-up, but a comedy in long-shot.","Charlie Chaplin"
"Prayers are to men as dolls are to children. They are not without use and comfort, but it is not easy to take them very seriously.","Samuel Butler"
"In order that people may be happy in their work, these three things are needed: they must be fit for it; they must not do too much of it; and they must have a sense of success in it.","John Ruskin"
"Never cut what you can untie.","Joseph Joubert"
"The best way to have a good idea is to have lots of ideas.","Linus Pauling"
"The only fence against the world is a thorough knowledge of it.","John Locke"
"It is not so much our friends' help that helps us as the confident knowledge that they will help us.","Epicurus"
"If what you are getting online is for free, you are not the customer, you are the product.","Jonathan Zittrain"
"A man may be very industrious, and yet not spend his time well. There is no more fatal blunderer than he who consumes the greater part of life getting his living.","Henry David Thoreau"
"In everyone's life, at some time, our inner fire goes out. It is then burst into flame by an encounter with another human being. We should all be thankful for those people who rekindle the inner spirit.","Albert Schweitzer"
"No man should judge unless he asks himself in absolute honesty whether in a similar situation he might not have done the same.","Viktor Frankl"
"Totalitarianism, however, does not so much promise an age of faith as an age of schizophrenia. A society becomes totalitarian when its structure becomes flagrantly artificial: that is, when its ruling class has lost its function but succeeds in clinging to power by force or fraud. Such a society, no matter how long it persists, can never afford to become either tolerant or intellectually stable. It can never permit either the truthful recording of facts or the emotional sincerity that literary creation demands.","George Orwell"
"In a completely rational society, the best of us would be teachers and the rest of us would have to settle for something less, because passing civilization along from one generation to the next ought to be the highest honor and the highest responsibility anyone could have.","Lee Iacocca"
"Seek not to follow in the footsteps of men of old; seek what they sought.","Matsuo Basho"
"Our lives are like islands in the sea, or like trees in the forest. The maple and the pine may whisper to each other with their leaves ... But the trees also commingle their roots in the darkness underground, and the islands also hang together through the ocean's bottom.","William James"
"May my silences become more accurate.","Theodore Roethke"
"Be silent and safe - silence never betrays you.","John Boyle O'Reilly"
"Silence is learned by the many misfortunes of life.","Lucius Annaeus Seneca"
"On the mountains of truth you can never climb in vain: either you will reach a point higher up today, or you will be training your powers so that you will be able to climb higher tomorrow.","Friedrich Nietzsche"
"Without the freedom to criticize, there is no true praise.","Pierre Beaumarchais"
"True compassion is more than flinging a coin to a beggar; it is not haphazard and superficial. It comes to see that an edifice that produces beggars needs restructuring.","Martin Luther King"
"The church says: The body is a sin. Science says: The body is a machine. Advertising says: The body is a business. The body says: I am a fiesta.","Eduardo Galeano"
"Those who can write / have a lot to / learn from those / bright enough not to.","Piet Hein"
"He who aims / to keep abreast / is forever / second best.","Piet Hein"
"Nature, it seems is the popular name / for milliards and milliards and milliards / of particles playing their infinite game / of billiards and billiards and billiards.","Piet Hein"
"To be brave is to behave / bravely when your heart is faint. / So you can be really brave / only when you really ain't.","Piet Hein"
"The universe may / be as great as they say. / But it wouldn't be missed / if it didn't exist.","Piet Hein"
"The road to wisdom? Well, it's plain / And simple to express: / Err / and err / and err again, / but less / and less / and less.","Piet Hein"
"The cure for anything is salt water - sweat, tears, or the sea.","Isak Dinesen"
"In the Soviet Union, capitalism triumphed over communism. In this country, capitalism triumphed over democracy.","Fran Lebowitz"
"Men are the devils of the earth and the animals are its tormented souls.","Arthur Schopenhauer"
"Let me never fall into the vulgar mistake of dreaming that I am persecuted whenever I am contradicted.","Ralph Waldo Emerson"
"Ultimately, man should not ask what the meaning of his life is, but rather must recognize that it is he who is asked. In a word, each man is questioned by life; and he can only answer to life by answering for his own life; to life he can only respond by being responsible.","Viktor Frankl"
"...success, like happiness, cannot be pursued; it must ensue, and it only does so as the unintended side-effect of one's personal dedication to a cause greater than oneself or as the by-product of one's surrender to a person other than oneself. Happiness must happen, and the same holds for success... success will follow you precisely because you had forgotten to think of it.","Viktor Frankl"
"Many wealthy people are little more than janitors of their possessions.","Frank Lloyd Wright"
"No man was ever more than about nine meals away from crime or suicide.","Eric Sevareid"
"We should tackle reality in a slightly jokey way, otherwise we miss its point.","Lawrence Durrell"
"To blame the poor for subsisting on welfare has no justice unless we are also willing to judge every rich member of society by how productive he or she is. Taken individual by individual, it is likely that there's more idleness and abuse of government favors among the economically privileged than among the ranks of the disadvantaged.","Norman Mailer"
"Children have never been very good at listening to their elders, but they have never failed to imitate them.","James Baldwin"
"The law, in its majestic equality, forbids the rich as well as the poor to sleep under bridges, to beg in the streets, and to steal bread.","Anatole France"
"A teacher affects eternity; he can never tell where his influence stops.","Henry Adams"
"What is the use of a fine house if you haven't got a tolerable planet to put it on.","Henry David Thoreau"
"The late F.W.H. Myers used to tell how he asked a man at a dinner table what he thought would happen to him when he died. The man tried to ignore the question, but on being pressed, replied: 'Oh well, I suppose I shall inherit eternal bliss, but I wish you wouldn't talk about such unpleasant subjects.","Bertrand Russell"
"The moral test of government is how that government treats those who are in the dawn of life, the children; those who are in the twilight of life, the elderly; and those who are in the shadows of life - the sick, the needy and the handicapped.","Hubert Horatio Humphrey"
"When two opposite points of view are expressed with equal intensity, the truth does not necessarily lie exactly halfway between them. It is possible for one side to be simply wrong.","Richard Dawkins"
"I would rather be able to appreciate things I can not have than to have things I am not able to appreciate.","Elbert Hubbard"
"God will not look you over for medals, diplomas, or degrees – but for scars.","Elbert Hubbard"
"If money be not thy servant, it will be thy master. The covetous man cannot so properly be said to possess wealth, as that may be said to possess him.","Francis Bacon"
"Art is the elimination of the unnecessary.","Pablo Picasso"
"Our chief want in life is somebody who shall make us do what we can.","Ralph Waldo Emerson"
"There is then creative reading as well as creative writing. When the mind is braced by labor and invention, the page of whatever book we read becomes luminous with manifold allusion.","Ralph Waldo Emerson"
"The greatest obstacle to discovering the shape of the earth, the continents, and the oceans was not ignorance but the illusion of knowledge.","Daniel J. Boorstin"
"We do not err because truth is difficult to see. It is visible at a glance. We err because this is more comfortable.","Alexander Solzhenitsyn"
"In some circumstances, the refusal to be defeated is a refusal to be educated.","Margaret Halsey"
"Laws too gentle are seldom obeyed; too severe, seldom executed.","Benjamin Franklin"
"Poetry is when an emotion has found its thought and the thought has found words.","Robert Frost"
"It is lamentable, that to be a good patriot one must become the enemy of the rest of mankind.","Voltaire"
"As I grow to understand life less and less, I learn to live it more and more.","Jules Renard"
"Most institutions demand unqualified faith; but the institution of science makes skepticism a virtue.","Robert King Merton"
"You can tell whether a man is clever by his answers. You can tell whether a man is wise by his questions.","Naguib Mahfouz"
"Since Auschwitz we know what man is capable of. And since Hiroshima we know what is at stake.","Viktor Frankl"
"Every man is guilty of all the good he did not do.","Voltaire"
"We are trying to prove ourselves wrong as quickly as possible, because only in that way can we find progress.","Richard Feynman"
"If this life be not a real fight, in which something is eternally gained for the universe by success, it is no better than a game of private theatricals from which one may withdraw at will. But it feels like a real fight.","William James"
"He is happy, whose circumstances suit his temper; but he is more happy, who can suit his temper to any circumstances.","David Hume"
"It was amazing that in this country where people allowed emotion to guide their politics they approached love with the precision of accountants.","Naguib Mahfouz"
"Suffering - how divine it is, how misunderstood! We owe to it all that is good in us, all that gives value to life; we owe to it pity, we owe to it courage, we owe to it all the virtues.","Anatole France"
"Innocence most often is a good fortune and not a virtue.","Anatole France"
"Never use a metaphor, simile, or other figure of speech which you are used to seeing in print.","George Orwell"
"Some forms of reality are so horrible we refuse to face them, unless we are trapped into it by comedy. To label any subject unsuitable for comedy is to admit defeat.","Peter Sellers"
"Life is a moderately good play with a badly-written third act.","Truman Capote"
"Failure is the condiment that gives success its flavor.","Truman Capote"
"People who are having a love-sex relationship are continuously lying to each other... you have to make a love object of this person, which means that you editorialize about them... You cut out what you don't want to see, you add this if it isn't there... But in a friendship you... do exactly the reverse. You try more and more to be as completely pure and straight as you can be.","Truman Capote"
"Learn from the mistakes of others. You can never live long enough to make them all yourself.","Groucho Marx"
"The opposite of a correct statement is a false statement. But the opposite of a profound truth may well be another profound truth.","Niels Bohr"
"An expert is a person who has found out by his own painful experience all the mistakes that one can make in a very narrow field.","Niels Bohr"
"Every sentence I utter must be understood not as an affirmation, but as a question.","Niels Bohr"
"We are what we pretend to be, so we must be careful about what we pretend to be.","Kurt Vonnegut"
"In preparing for battle, I have always found that plans are useless but planning is indispensable.","Dwight David Eisenhower"
"Maybe all one can do is hope to end up with the right regrets.","Arthur Miller"
"Invention, it must be humbly admitted, does not consist in creating out of void, but out of chaos.","Mary Wollstonecraft Shelley"
"A desk is a dangerous place from which to view the world.","John le Carré"
"The need to be right - the sign of a vulgar mind.","Albert Camus"
"Any man can make mistakes, but only a fool persists in his error","Marcus Tullius Cicero"
"It is better to die for an idea that will live, than to live for an idea that will die.","Stephen Bantu Biko"
"Truth is the daughter of time, and I feel no shame in being her midwife.","Johannes Kepler"
"Nothing is a hobby - each discipline is its own world with its own high standards.","Patti Smith"
"The impediment to action advances action. The obstacle is the way.","Marcus Aurelius"
"If you would persuade, appeal to interest and not to reason.","Benjamin Franklin"
"Most people overestimate what they can do in one year and underestimate what they can do in ten years.","Bill Gates"
"The art of being wise is the art of knowing what to overlook.","William James"
"Step by step they were led to things which dispose to vice, the lounge, the bath, the elegant banquet. All this in their ignorance they called civilisation, when it was but a part of their servitude.","Publius Cornelius Tacitus"
"Confronted with the impossibility of remaining faithful to one’s beliefs, and the equal impossibility of becoming free of them, one can be driven to the most inhuman excesses.","James Baldwin"
"I conceive of God, in fact, as a means of liberation and not a means to control others.","James Baldwin"
"The price one pays for pursuing any profession or calling is an intimate knowledge of its ugly side.","James Baldwin"
"Half the trouble in life is caused by pretending that there isn’t any.","Edith Wharton"
"The curious task of economics is to demonstrate to men how little they really know about what they imagine they can design.","Friedrich Hayek"
"A man who procrastinates in his choosing will inevitably have his choice made for him by circumstance.","Hunter S. Thompson"
"The enemy of a love is never outside, it's not a man or a woman, it's what we lack in ourselves.","Anaïs Nin"
"Great lives never go out; they go on.","Benjamin Harrison"
"Be thine own palace, or the world's’ thy jail.","John Donne"
"Little minds are tamed and subdued by misfortune; but great minds rise above it.","Washington Irving"
"The secret of good writing is to say an old thing in a new way, or a new thing in an old way.","Richard Harding Davis"
"Every word is like an unnecessary stain on silence and nothingness.","Samuel Beckett"
"The time-state of attainment eliminates so accurately the time-state of aspiration, that the actual seems the inevitable, and, all conscious intellectual effort to reconstitute the invisible and unthinkable as a reality being fruitless, we are incapable of appreciating our joy by comparing it with our sorrow.","Samuel Beckett"
"(Samuel) Beckett does not believe in God, though he seems to imply that God has committed an unforgivable sin by not existing.","Anthony Burgess"
"Tis a great confidence in a friend to tell him your faults; greater to tell him his.","Benjamin Franklin"
"Those who will not reason, are bigots; those who cannot, are fools; and those who dare not, are slaves.","Lord Byron"
"The difficulty lies not so much in developing new ideas as escaping from old ones.","John Maynard Keynes"
"To live only for some future goal is shallow. It’s the sides of the mountain that sustain life, not the top.","Robert Pirsig"
"The day is coming when a single carrot, freshly observed, will set off a revolution.","Paul Cézanne"
"Life is a shipwreck, but we must not forget to sing in the lifeboats.","Voltaire"
"Virtue is more to be feared than vice, because its excesses are not subject to the regulation of conscience.","Adam Smith"
"I never wonder to see men wicked, but I often wonder to see them not ashamed.","Jonathan Swift"
"Each generation imagines itself to be more intelligent than the one that went before it, and wiser than the one that comes after.","George Orwell"
"Despicable means used to achieve laudable goals render the goals themselves despicable.","Anton Chekhov"
"The line separating good and evil passes not through states, nor between classes, nor between political parties either - but right through every human heart.","Alexander Solzhenitsyn"
"Euclid taught me that without assumptions there is no proof. Therefore, in any argument, examine the assumptions. Then, in the alleged proof, be alert for inexplicit assumptions.","Eric Temple Bell"
"The so-called obvious was repeatedly scrutinized from every angle and was frequently found to be not obvious but false. 'Obvious' is the most dangerous word in mathematics.","Eric Temple Bell"
"Until we have begun to go without them, we fail to realize how unnecessary many things are. We've been using them not because we needed them but because we had them.","Lucius Annaeus Seneca"
"The most important component of evolution is death... it's easier to create a new organism than to change an existing one.","John Ousterhourt"
"Facts precede concepts: a fact is a piece of information that can be observed or measured; a concept is a general rule that can be used to predict many facts or a solution to many problems... before you can appreciate or develop a concept you need to observe a large number of facts related to the concept.","John Ousterhourt"
"Always too eager for the future, we / Pick up bad habits of expectancy.","Philip Larkin"
"In everyone there sleeps / A sense of life lived according to love. / To some it means the difference they could make / By loving others, but across most it sweeps / As all they might have done had they been loved. / That nothing cures.","Philip Larkin"
"Life is first boredom, then fear. / Whether or not we use it, it goes, / And leaves what something hidden from us chose, / And age, and then the only end of age.","Philip Larkin"
"All the other lads there / Were itching to have a bash / But I thought wanting unfair: / It and finding out clash.","Philip Larkin"
"History is the autobiography of a madman.","Alexander Herzen"
"History... is the ultimate in speculative narrative, subject to ongoing and inevitable revision. Science fiction tends to behave like a species of history pointing in the opposite direction, up the timeline rather than back. But you can't draw imaginary future histories without a map of the past that your readers will accept as their own.","William Gibson"
"Poetry is just the evidence of life. If your life is burning well, poetry is just the ash.","Leonard Cohen"
"It is better to go skiing and think of God than to go to church and think of sport.","Fridtjof Nansen"
"Never trust a thought that occurs to you indoors.","Friedrich Nietzsche"
"There is no foreign land; it is the traveller only that is foreign.","Robert Louis Stevenson"
"Music is a hidden arithmetic exercise of the soul, which does not know what it is counting.","Gottfried Leibniz"
"The truth isn’t always beauty, but the hunger for it is.","Nadine Gordimer"
"We're all going to die, all of us, what a circus! That alone should make us love each other but it doesn't. We are terrorized and flattened by trivialities, we are eaten up by nothing.","Charles Bukowski"
"It is probably true that business corrupts everything it touches. It corrupts politics, sports, literature, art, labor unions and so on. But business also corrupts and undermines monolithic totalitarianism. Capitalism is at its liberating best in a noncapitalist environment.","Eric Hoffer"
"Faith in a holy cause is to a considerable extent a substitute for the lost faith in ourselves.","Eric Hoffer"
"It has often been said that power corrupts. But it is perhaps equally important to realize that weakness, too, corrupts. Power corrupts the few, while weakness corrupts the many.","Eric Hoffer"
"Rudeness is the weak man's imitation of strength.","Eric Hoffer"
"It is easier to love humanity as a whole than to love one's neighbor.","Eric Hoffer"
"You accept certain unlovely things about yourself and manage to live with them. The atonement for such an acceptance is that you make allowances for others - that you cleanse yourself of the sin of self-righteousness.","Eric Hoffer"
"The significant point is that people... who cannot do much with (freedom) are hungry for power. The desire for freedom... says: leave me alone and I shall grow, learn, and realize my capacities. Freedom gives us a chance to realize our human and individual uniqueness. Absolute power can also bestow uniqueness: to have absolute power is to have the power to reduce all the people around us to puppets, robots, toys, or animals, and be the only man in sight. Absolute power achieves uniqueness by dehumanizing others. To sum up: Those who lack the capacity to achieve much in an atmosphere of freedom will clamor for power.","Eric Hoffer"
"It is the individual only who is timeless. Societies, cultures, and civilizations - past and present - are often incomprehensible to outsiders, but the individual's hunger, anxieties, dreams, and preoccupations have remained unchanged through the millennia. Thus, we are up against the paradox that the individual who is more complex, unpredictable, and mysterious than any communal entity is the one nearest to our understanding; so near that even the interval of millennia cannot weaken our feeling of kinship.","Eric Hoffer"
"It is not good for our efforts at self-realization to know the opinions other people have of us. It is difficult or perhaps impossible to be ourselves if we are known.","Eric Hoffer"
"Nature gets credit which should in truth be reserved for ourselves: the rose for its scent, the nightingale for its song, and the sun for its radiance. The poets are entirely mistaken. They should address their lyrics to themselves and should turn them into odes of self-congratulation on the excellence of the human mind.","Alfred North Whitehead"
"It is a profoundly erroneous truism... that we should cultivate the habit of thinking of what we are doing. The precise opposite is the case. Civilization advances by extending the number of important operations which we can perform without thinking about them.","Alfred North Whitehead"
"Work destroys your soul by stealthily invading your brain during the hours not officially spent working; be selective about professions.","Nassim Nicholas Taleb"
"The best revenge on a liar is to convince him that you believe what he said.","Nassim Nicholas Taleb"
"If you want people to read a book, tell them it is overrated.","Nassim Nicholas Taleb"
"We need to feel a little bit lost somewhere, physically or intellectually, at least once a day.","Nassim Nicholas Taleb"
"Thinking that all individuals pursue 'selfish' interests is equivalent to assuming that all random variables have zero covariance.","Nassim Nicholas Taleb"
"Quite revealing of human preferences that more suicides come from shame or loss of financial and social status than medical diagnoses.","Nassim Nicholas Taleb"
"Business wars are typically lost by both parties; academic wars are won by both sides.","Nassim Nicholas Taleb"
"People focus on role models; it is more effective to find antimodels - people you don’t want to resemble when you grow up.","Nassim Nicholas Taleb"
"The twentieth century was the bankruptcy of the social utopia; the twenty-first will be that of the technological one.","Nassim Nicholas Taleb"
"For so many, instead of looking for 'cause of death' when they expire, we should be looking for 'cause of life' when they are still around.","Nassim Nicholas Taleb"
"Any book not worth rereading isn’t worth reading.","Nassim Nicholas Taleb"
"A heuristic on whether you have control of your life: can you take naps?","Nassim Nicholas Taleb"
"Hard science gives sensational results with a horribly boring process; philosophy gives boring results with a sensational process; literature gives sensational results with a sensational process; and economics gives boring results with a boring process.","Nassim Nicholas Taleb"
"The genius of Benoît Mandelbrot is in achieving aesthetic simplicity without having recourse to smoothness.","Nassim Nicholas Taleb"
"The difference between the politician and the philosopher is that, in a debate, the politician doesn’t try to convince the other side, only the audience.","Nassim Nicholas Taleb"
"The nation-state: apartheid without political incorrectness.","Nassim Nicholas Taleb"
"Someone from your social class who becomes poor affects you more than thousands of starving ones outside of it.","Nassim Nicholas Taleb"
"To understand how something works, figure out how to break it.","Nassim Nicholas Taleb"
"When conflicted between two choices, take neither.","Nassim Nicholas Taleb"
"For the robust, an error is information; for the fragile, an error is an error.","Nassim Nicholas Taleb"
"People like to eat fish by the water even if the fish was caught far away and transported by trucks.","Nassim Nicholas Taleb"
"The best way to spot a charlatan: someone (like a consultant or a stockbroker) who tells you what to do instead of what not to do.","Nassim Nicholas Taleb"
"To become a philosopher, start by walking very slowly.","Nassim Nicholas Taleb"
"It is perplexing but amusing to observe people getting extremely excited about things you don’t care about; it is sinister to watch them ignore things you believe are fundamental.","Nassim Nicholas Taleb"
"Let us find what risks we can measure and these are the risks we should be taking.","Nassim Nicholas Taleb"
"Contra the prevailing belief, 'success' isn’t being on top of a hierarchy, it is standing outside all hierarchies.","Nassim Nicholas Taleb"
"A happier world is one in which everyone realizes that 1) it is not what you tell people, it is how you say it that makes them feel bad; 2) it is not what you do to them but how you make them look that gets them angry; 3) they should be the ones putting themselves in a specific category.","Nassim Nicholas Taleb"
"Scientific research is not conducted in a social vacuum.","Robert King Merton"
"Men do not sufficiently realise that their future is in their own hands. Theirs is the task of determining first of all whether they want to go on living or not. Theirs is the responsibility, then, for deciding if they want merely to live, or intend to make just the extra effort required for fulfilling, even on their refractory planet, the essential function of the universe, which is a machine for the making of gods.","Henri-Louis Bergson"
"I am far from denying the destructive and disintegrating forces of passion. I will go so far as to agree that apart from the reproductive function, men have hitherto used love, on the whole, as an instrument of self-corruption and intoxication. But what do these excesses prove? Because fire consumes and electricity can kill are we to stop using them? ...In every domain of the real (physical, affective, intellectual) 'danger' is a sign of power. Only a mountain can create a terrifying drop. ...'The more dangerous a thing, the more is its conquest ordained by life': it is from that conviction that the modern world has emerged; and from that our religion, too, must be reborn.","Pierre Teilhard de Chardin"
"What paralyzes life is lack of faith and lack of audacity. The difficulty lies not in solving problems but expressing them.","Pierre Teilhard de Chardin"
"It is biologically evident that to gain control of passion and so make it serve spirit must be a condition of progress. Sooner or later, then, the world will brush aside our incredulity and take this step... after harnessing the ether, the winds, the tides, gravitation, we shall harness for God the energies of love. And, on that day, for the second time in the history of the world, man will have discovered fire.","Pierre Teilhard de Chardin"
